
Database             Time                 Version
-------------------- -------------------- ------------------------------
Start: ORCL          30-JUL-2022 18:52:44 Version 21.3.0.0.0

Network summary 1 - by subnetwork

Network     #Links  #Nodes    Max Lev
---------- ------- ------- ----------
10099            2       2          1
10243            2       2          1
10255            2       2          1
10411            2       2          1
10587            2       2          1
10689            2       2          1
1195             2       2          1
16204            2       2          1
17507            2       2          1
17522            2       2          1
17722            2       2          1
18028            2       2          1
18078            2       2          1
23589            2       2          1
24501            2       2          1
25029            2       2          1
25168            2       2          1
25196            2       2          1
25284            2       2          1
25447            2       2          1
2861             2       2          1
2878             2       2          1
2974             2       2          1
32303            2       2          1
32474            2       2          1
32613            2       2          1
32617            2       2          1
3356             2       2          1
3405             2       2          1
3422             2       2          1
37777            2       2          1
39799            2       2          1
39806            2       2          1
39868            2       2          1
45997            2       2          1
52088            2       2          1
52364            2       2          1
52396            2       2          1
53058            2       2          1
54054            2       2          1
54152            2       2          1
54320            2       2          1
54361            2       2          1
54363            2       2          1
54421            2       2          1
913              2       2          1
9622             2       2          1
9659             2       2          1
9676             2       2          1
9746             2       2          1
13323            2       2          1
14165            2       2          1
14191            2       2          1
14383            2       2          1
14528            2       2          1
14591            2       2          1
20486            2       2          1
21303            2       2          1
21337            2       2          1
21952            2       2          1
27550            2       2          1
29259            2       2          1
35358            2       2          1
36097            2       2          1
36106            2       2          1
36215            2       2          1
36469            2       2          1
36491            2       2          1
43345            2       2          1
50208            2       2          1
50474            2       2          1
50695            2       2          1
55059            2       2          1
56828            2       2          1
57030            2       2          1
57055            2       2          1
57886            2       2          1
58223            2       2          1
6570             2       2          1
6579             2       2          1
6863             2       2          1
7139             2       2          1
1020             2       2          1
10645            2       2          1
10657            2       2          1
10676            2       2          1
15395            2       2          1
17030            2       2          1
17459            2       2          1
17590            2       2          1
17858            2       2          1
24861            2       2          1
25137            2       2          1
25307            2       2          1
25465            2       2          1
2801             2       2          1
3019             2       2          1
3023             2       2          1
3040             2       2          1
30456            2       2          1
32028            2       2          1
32030            2       2          1
32055            2       2          1
39033            2       2          1
45989            2       2          1
46410            2       2          1
46459            2       2          1
46665            2       2          1
46953            2       2          1
47021            2       2          1
52385            2       2          1
53767            2       2          1
54339            2       2          1
